,GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF49E001,NAME_M,AF49M001
7689,G0600590074109,2012-2016,,,California,6,Orange County,59,,,74109,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 741.09, Orange County, California",67634.0,"Census Tract 741.09, Orange County, California",8543.0
7690,G0600590074110,2012-2016,,,California,6,Orange County,59,,,74110,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 741.10, Orange County, California",96900.0,"Census Tract 741.10, Orange County, California",9975.0
7691,G0600590074111,2012-2016,,,California,6,Orange County,59,,,74111,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 741.11, Orange County, California",73952.0,"Census Tract 741.11, Orange County, California",19670.0
7692,G0600590074200,2012-2016,,,California,6,Orange County,59,,,74200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 742, Orange County, California",62169.0,"Census Tract 742, Orange County, California",9441.0
7693,G0600590074300,2012-2016,,,California,6,Orange County,59,,,74300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 743, Orange County, California",54727.0,"Census Tract 743, Orange County, California",6923.0
7694,G0600590074403,2012-2016,,,California,6,Orange County,59,,,74403,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 744.03, Orange County, California",36431.0,"Census Tract 744.03, Orange County, California",5237.0
7695,G0600590074405,2012-2016,,,California,6,Orange County,59,,,74405,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 744.05, Orange County, California",35714.0,"Census Tract 744.05, Orange County, California",4742.0
7696,G0600590074406,2012-2016,,,California,6,Orange County,59,,,74406,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 744.06, Orange County, California",40677.0,"Census Tract 744.06, Orange County, California",7756.0
7697,G0600590074407,2012-2016,,,California,6,Orange County,59,,,74407,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 744.07, Orange County, California",35609.0,"Census Tract 744.07, Orange County, California",4911.0
7698,G0600590074408,2012-2016,,,California,6,Orange County,59,,,74408,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 744.08, Orange County, California",44702.0,"Census Tract 744.08, Orange County, California",5897.0
7699,G0600590074501,2012-2016,,,California,6,Orange County,59,,,74501,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 745.01, Orange County, California",36429.0,"Census Tract 745.01, Orange County, California",8102.0
7700,G0600590074502,2012-2016,,,California,6,Orange County,59,,,74502,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 745.02, Orange County, California",54732.0,"Census Tract 745.02, Orange County, California",11361.0
7701,G0600590074601,2012-2016,,,California,6,Orange County,59,,,74601,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 746.01, Orange County, California",54598.0,"Census Tract 746.01, Orange County, California",7064.0
7702,G0600590074602,2012-2016,,,California,6,Orange County,59,,,74602,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 746.02, Orange County, California",46924.0,"Census Tract 746.02, Orange County, California",3602.0
7703,G0600590074701,2012-2016,,,California,6,Orange County,59,,,74701,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 747.01, Orange County, California",56090.0,"Census Tract 747.01, Orange County, California",14969.0
7704,G0600590074702,2012-2016,,,California,6,Orange County,59,,,74702,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 747.02, Orange County, California",56314.0,"Census Tract 747.02, Orange County, California",7770.0
