,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
174,2017,2017,0,Total,130435,18938.0,"Census Tract 5120.34, Santa Clara County, CA",14000US06085512034
170,2017,2017,0,Total,128466,13843.0,"Census Tract 5120.35, Santa Clara County, CA",14000US06085512035
164,2017,2017,0,Total,114883,18287.0,"Census Tract 5120.36, Santa Clara County, CA",14000US06085512036
160,2017,2017,0,Total,124375,15103.0,"Census Tract 5120.37, Santa Clara County, CA",14000US06085512037
154,2017,2017,0,Total,95652,34939.0,"Census Tract 5120.38, Santa Clara County, CA",14000US06085512038
150,2017,2017,0,Total,110972,14889.0,"Census Tract 5120.39, Santa Clara County, CA",14000US06085512039
144,2017,2017,0,Total,71974,6407.0,"Census Tract 5120.42, Santa Clara County, CA",14000US06085512042
140,2017,2017,0,Total,51033,9098.0,"Census Tract 5120.43, Santa Clara County, CA",14000US06085512043
134,2017,2017,0,Total,119444,21360.0,"Census Tract 5120.45, Santa Clara County, CA",14000US06085512045
130,2017,2017,0,Total,123355,7043.0,"Census Tract 5120.47, Santa Clara County, CA",14000US06085512047
124,2017,2017,0,Total,87437,13305.0,"Census Tract 5120.52, Santa Clara County, CA",14000US06085512052
120,2017,2017,0,Total,84693,11944.0,"Census Tract 5120.53, Santa Clara County, CA",14000US06085512053
114,2017,2017,0,Total,100870,9106.0,"Census Tract 5121, Santa Clara County, CA",14000US06085512100
110,2017,2017,0,Total,150729,33539.0,"Census Tract 5122, Santa Clara County, CA",14000US06085512200
104,2017,2017,0,Total,138068,32809.0,"Census Tract 5123.05, Santa Clara County, CA",14000US06085512305
100,2017,2017,0,Total,106887,20749.0,"Census Tract 5123.07, Santa Clara County, CA",14000US06085512307
94,2017,2017,0,Total,153929,17047.0,"Census Tract 5123.08, Santa Clara County, CA",14000US06085512308
90,2017,2017,0,Total,115379,17314.0,"Census Tract 5123.09, Santa Clara County, CA",14000US06085512309
84,2017,2017,0,Total,57276,8959.0,"Census Tract 5123.10, Santa Clara County, CA",14000US06085512310
80,2017,2017,0,Total,100337,14891.000000000002,"Census Tract 5123.11, Santa Clara County, CA",14000US06085512311
74,2017,2017,0,Total,115054,18272.0,"Census Tract 5123.12, Santa Clara County, CA",14000US06085512312
70,2017,2017,0,Total,77500,5522.0,"Census Tract 5123.13, Santa Clara County, CA",14000US06085512313
64,2017,2017,0,Total,80929,16339.0,"Census Tract 5123.14, Santa Clara County, CA",14000US06085512314
60,2017,2017,0,Total,111763,11553.0,"Census Tract 5124.01, Santa Clara County, CA",14000US06085512401
54,2017,2017,0,Total,107917,17387.0,"Census Tract 5124.02, Santa Clara County, CA",14000US06085512402
50,2017,2017,0,Total,141931,13036.0,"Census Tract 5125.03, Santa Clara County, CA",14000US06085512503
44,2017,2017,0,Total,79635,18426.0,"Census Tract 5125.05, Santa Clara County, CA",14000US06085512505
40,2017,2017,0,Total,72321,16796.0,"Census Tract 5125.06, Santa Clara County, CA",14000US06085512506
34,2017,2017,0,Total,73466,19972.0,"Census Tract 5125.08, Santa Clara County, CA",14000US06085512508
30,2017,2017,0,Total,100625,23758.0,"Census Tract 5125.09, Santa Clara County, CA",14000US06085512509
24,2017,2017,0,Total,88596,11818.0,"Census Tract 5125.10, Santa Clara County, CA",14000US06085512510
20,2017,2017,0,Total,88690,22420.0,"Census Tract 5126.02, Santa Clara County, CA",14000US06085512602
16,2017,2017,0,Total,48125,8005.0,"Census Tract 5126.03, Santa Clara County, CA",14000US06085512603
10,2017,2017,0,Total,52194,16793.0,"Census Tract 5126.04, Santa Clara County, CA",14000US06085512604
6,2017,2017,0,Total,37361,3506.0000000000005,"Census Tract 5130, Santa Clara County, CA",14000US06085513000
0,2017,2017,0,Total,107813,30804.0,"Census Tract 5135, Santa Clara County, CA",14000US06085513500
